event,type,eventvalue,eventID,userID,createtime,modifiedtime
FixedDeposit_EndTime,time,2024/11/4 01:01,900026,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_percentage,interest,5%,900026,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_Value,cancelled,180,900027,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_ID,id,70001,900027,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_Duration,year,1,900027,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_StartTime,time,2024/5/4 01:01,900027,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_EndTime,time,2025/5/4 01:01,900027,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_percentage,interest,10%,900027,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_Value,open,200,900028,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_ID,id,70000,900028,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_Duration,year,0.5,900028,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_StartTime,time,2024/5/4 01:01,900028,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_EndTime,time,2024/11/4 01:01,900028,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_percentage,interest,5%,900028,321,2024/5/4 01:01,2024/5/4 01:01
Implement_Tasks,positive,10,900028,321,2024/5/5 15:33,2024/5/5 15:33
Implement_Tasks_ID,id,50030,900028,321,2024/5/5 15:33,2024/5/5 15:33
Redeem_Gifts,negative,50,900029,321,2024/5/5 20:00,2024/5/5 20:00
Redeem_Gifts_ID,id,60016,900029,321,2024/5/5 20:00,2024/5/5 20:00
Redeem_Gifts,negative,80,900030,321,2024/5/5 20:30,2024/5/5 20:30
Redeem_Gifts_ID,id,60017,900030,321,2024/5/5 20:30,2024/5/5 20:30
Implement_Tasks,positive,99,900031,321,2024/5/5 20:31,2024/5/5 20:31
Implement_Tasks_ID,id,50021,900031,321,2024/5/5 20:31,2024/5/5 20:31
Implement_Tasks,positive,123,900032,321,2024/5/5 20:31,2024/5/5 20:31
Implement_Tasks_ID,id,50023,900032,321,2024/5/5 20:31,2024/5/5 20:31
Implement_Tasks,positive,13,900033,321,2024/5/5 20:32,2024/5/5 20:32
Implement_Tasks_ID,id,50031,900033,321,2024/5/5 20:32,2024/5/5 20:32
Implement_Tasks,positive,120,900034,321,2024/5/5 20:54,2024/5/5 20:54
Implement_Tasks_ID,id,50042,900034,321,2024/5/5 20:54,2024/5/5 20:54
Implement_Tasks,positive,44,900035,321,2024/5/5 20:54,2024/5/5 20:54
Implement_Tasks_ID,id,50040,900035,321,2024/5/5 20:54,2024/5/5 20:54
Implement_Tasks,positive,110,900036,321,2024/5/5 20:54,2024/5/5 20:54
Implement_Tasks_ID,id,50043,900036,321,2024/5/5 20:54,2024/5/5 20:54
